DatabaseName,SchemaName,TableName,IndexName,IndexType,IsUnique,IsPrimaryKey,IsUniqueConstraint,ColumnName,KeyOrdinal,IsIncludedColumn
fsp-165587,dbo,CourseProfileLessonMinimumTimes,nci_wi_CourseProfileLessonMinimumTimes_80202D01F3E3A2D3D680C85166399E4C,NONCLUSTERED,false,false,false,MinimumTime3,0,true
fsp-165587,dbo,CourseProfileLessonMinimumTimes,nci_wi_CourseProfileLessonMinimumTimes_80202D01F3E3A2D3D680C85166399E4C,NONCLUSTERED,false,false,false,CourseProfileId,1,false
fsp-165587,dbo,CourseProfileLessonMinimumTimes,nci_wi_CourseProfileLessonMinimumTimes_80202D01F3E3A2D3D680C85166399E4C,NONCLUSTERED,false,false,false,OperatorId,2,false
fsp-165587,dbo,CourseProfileLessonMinimumTimes,nci_wi_CourseProfileLessonMinimumTimes_80202D01F3E3A2D3D680C85166399E4C,NONCLUSTERED,false,false,false,LessonId,3,false
fsp-165587,dbo,CourseProfileLessonMinimumTimes,PK_CourseProfileLessonMinimumTimes,CLUSTERED,true,true,false,_RowId,1,false
fsp-165587,dbo,CourseProfiles,nci_wi_CourseProfiles_679768DD3C431977B5111343BA73A2F5,NONCLUSTERED,false,false,false,CourseMinimumTimeField1,0,true
fsp-165587,dbo,CourseProfiles,nci_wi_CourseProfiles_679768DD3C431977B5111343BA73A2F5,NONCLUSTERED,false,false,false,CourseMinimumTimeField2,0,true
fsp-165587,dbo,CourseProfiles,nci_wi_CourseProfiles_679768DD3C431977B5111343BA73A2F5,NONCLUSTERED,false,false,false,CourseMinimumTimeField3,0,true
fsp-165587,dbo,CourseProfiles,nci_wi_CourseProfiles_679768DD3C431977B5111343BA73A2F5,NONCLUSTERED,false,false,false,Name,0,true
fsp-165587,dbo,CourseProfiles,nci_wi_CourseProfiles_679768DD3C431977B5111343BA73A2F5,NONCLUSTERED,false,false,false,CourseProfileId,1,false
fsp-165587,dbo,CourseProfiles,nci_wi_CourseProfiles_679768DD3C431977B5111343BA73A2F5,NONCLUSTERED,false,false,false,OperatorId,2,false
