SchemaName,TableName,ColumnName,StatisticName,IsAutoCreated,IsUserCreated,LastUpdated
dbo,Courses,_RowId,PK_Courses,false,false,2025-06-27 14:13:54.380
dbo,Courses,CourseFamilyId,ix_Courses_CourseFamilyId,false,false,2025-10-21 18:04:02.843
dbo,Courses,CourseId,UK_Courses_CourseId,false,false,2025-10-21 18:04:02.820
dbo,Courses,Name,_WA_Sys_00000004_681E60A5,true,false,2025-10-21 18:04:02.880
dbo,Courses,OperatorId,_WA_Sys_00000003_681E60A5,true,false,2025-03-11 09:11:55.037
dbo,Courses,OperatorId,nci_wi_Courses_7F7D3A98CDE02C53D9252215A2EBF4F2,false,false,2025-10-21 18:04:02.850
dbo,Courses,Status,nci_wi_Courses_7F7D3A98CDE02C53D9252215A2EBF4F2,false,false,2025-10-21 18:04:02.850
dbo,CourseTasks,_RowId,PK_CourseTasks,false,false,2023-08-30 23:00:59.630
dbo,CourseTasks,CourseId,UK_CourseTasks_CourseId_Name,false,false,2025-03-12 21:03:17.383
dbo,CourseTasks,CourseId,IDX_CourseTasks_CourseId_OperatorId,false,false,2025-03-12 21:03:20.490
dbo,CourseTasks,CourseId,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,false,false,2025-03-12 21:03:23.820
dbo,CourseTasks,CourseId,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,false,false,2025-10-21 12:08:38.207
dbo,CourseTasks,CourseTaskId,UK_CourseTasks_CourseTaskId,false,false,
dbo,CourseTasks,Name,UK_CourseTasks_CourseId_Name,false,false,2025-03-12 21:03:17.383
dbo,CourseTasks,Name,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,false,false,2025-03-12 21:03:23.820
dbo,CourseTasks,OperatorId,nci_wi_CourseTasks_BA04E2824C81C30B0D9E7FBC9EA98383,false,false,2025-10-21 12:08:38.207
dbo,CourseTasks,OperatorId,IDX_CourseTasks_CourseId_OperatorId,false,false,2025-03-12 21:03:20.490
dbo,CourseTasks,OperatorId,_WA_Sys_00000004_186C9245,true,false,2025-03-12 09:11:05.287
dbo,CourseTasks,OperatorId,nci_wi_CourseTasks_59770F95B69E3137CCFDFE44E9E13B51,false,false,2025-03-12 21:03:23.820
dbo,CourseTimeFields,_RowId,PK_CourseTimeFields,false,false,2023-08-30 23:00:59.733
dbo,CourseTimeFields,CourseId,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,false,false,
dbo,CourseTimeFields,CourseId,ix_CourseTimeFields_CourseId_OperatorId,false,false,2025-03-12 21:13:06.810
dbo,CourseTimeFields,CourseId,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,false,false,2025-03-12 21:13:06.993
dbo,CourseTimeFields,Enabled,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,false,false,2025-03-12 21:13:06.993
dbo,CourseTimeFields,Enabled,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,false,false,
dbo,CourseTimeFields,FieldId,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,false,false,2025-03-12 21:13:06.993
dbo,CourseTimeFields,OperatorId,_WA_Sys_00000003_24D2692A,true,false,2025-10-04 12:07:02.053
dbo,CourseTimeFields,OperatorId,ix_CourseTimeFields_CourseId_OperatorId,false,false,2025-03-12 21:13:06.810
dbo,CourseTimeFields,OperatorId,nci_wi_CourseTimeFields_D6EE5371131DB673C3CECD832608C14E,false,false,2025-03-12 21:13:06.993
dbo,CourseTimeFields,OperatorId,nci_wi_CourseTimeFields_2C18CC036ABA746ED7CE949BB5646133,false,false,
dbo,CourseTrackedTimeFields,_RowId,PK_CourseTrackedTimeFields,false,false,2023-08-30 23:00:59.383
dbo,CourseTrackedTimeFields,CourseId,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,false,false,2025-10-21 12:08:41.087
dbo,CourseTrackedTimeFields,CourseId,nci_wi_CourseTrackedTimeFields_0A9703808436EA29034A0DE90E5C94B2,false,false,2025-03-12 21:13:07.157
dbo,CourseTrackedTimeFields,Minimum,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,false,false,2025-10-21 12:08:41.087
dbo,CourseTrackedTimeFields,OperatorId,nci_wi_CourseTrackedTimeFields_CD2F83D3A36A0E0DDF17D9194C758DF5,false,false,2025-10-21 12:08:41.087
dbo,CustomCancellationReasons,CompanyId,ix_CustomCancellationReasons_CompanyId_IsDeleted,false,false,2025-10-21 09:51:54.027
dbo,CustomCancellationReasons,id,PK_CustomCancellationReasons,false,false,2023-07-13 23:03:02.810
dbo,CustomCancellationReasons,IsDeleted,ix_CustomCancellationReasons_CompanyId_IsDeleted,false,false,2025-10-21 09:51:54.027
dbo,CustomerAccounts,_RowNumber,PK_CustomerAccounts,false,false,2023-08-30 23:27:38.723
dbo,CustomerAccounts,AccountTransactionId,UK_CustomerAccounts,false,false,
dbo,CustomerAccounts,OperatorId,IDX_CustomerAccounts_OperatorIdUserId,false,false,2025-10-21 09:53:21.973
dbo,CustomerAccounts,UserId,IDX_CustomerAccounts_OperatorIdUserId,false,false,2025-10-21 09:53:21.973
dbo,CustomLessonTasks,_RowId,PK_CustomLessonTasks,false,false,2023-09-13 23:00:28.363
dbo,CustomLessonTasks,AddedAt,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,false,false,2025-03-12 21:13:07.320
dbo,CustomLessonTasks,CourseId,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,false,false,2025-03-12 21:13:07.320
dbo,CustomLessonTasks,CustomLessonTaskId,UK_CustomLessonTasks_CustomLessonTaskId,false,false,
dbo,CustomLessonTasks,EnrollmentId,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,false,false,2025-03-12 21:13:07.320
dbo,CustomLessonTasks,Importance,nci_wi_CustomLessonTasks_4C69E3272F535CB4E43D7FD3762BA9A9,false,false,2025-03-12 21:13:07.320
