TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,CHARACTER_SET_NAME,COLLATION_NAME
fsp-165587,AzureSync,AzureSyncTablesForCore,TableName,1,,NO,varchar,255,255,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,AzureSync,AzureSyncTablesForCore,FullCopy,2,,YES,bit,,,,,,,,
fsp-165587,AzureSync,AzureSyncTablesForCore,_RowNumber,3,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,TableName,2,,NO,varchar,255,255,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,AzureSync,AzureSyncTablesForCurriculum,FullCopy,3,,YES,bit,,,,,,,,
fsp-165587,AzureSync,PreviousCoreChangeTrackingVersion,Version,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,PreviousCoreChangeTrackingVersion,Id,2,,NO,int,,,10,10,0,,,
fsp-165587,AzureSync,PreviousCurriculumChangeTrackingVersion,Version,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,PreviousCurriculumChangeTrackingVersion,Id,2,,NO,int,,,10,10,0,,,
fsp-165587,AzureSync,SyncRuns,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,AzureSync,SyncRuns,DataSet,2,,NO,varchar,50,50,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,AzureSync,SyncRuns,SyncStart,3,,NO,datetime,,,,,,3,,
fsp-165587,AzureSync,SyncRuns,SyncComplete,4,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatches,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,AccountingSyncBatches,OperatorId,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatches,BatchId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AccountingSyncBatches,Status,4,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatches,OpenedAt,5,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatches,CreatedAt,6,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatches,CompletedAt,7,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatches,Description,8,,YES,nvarchar,250,500,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AccountingSyncBatches,Content,9,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AccountingSyncBatches,AccountingPackage,10,,YES,nvarchar,25,50,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AccountingSyncBatches,Transactions,11,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatches,CreatedBy,12,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AccountingSyncBatches,BatchType,13,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatches,OnlyIncludeActive,14,,YES,bit,,,,,,,,
fsp-165587,dbo,AccountingSyncBatches,SyncInitiated,15,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatches,LastModifiedTime,16,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatchTransactions,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,AccountingSyncBatchTransactions,OperatorId,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatchTransactions,BatchId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AccountingSyncBatchTransactions,TransactionId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AccountingSyncBatchTransactions,Status,5,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatchTransactions,Errors,6,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AccountingSyncBatchTransactions,Details,7,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AccountingSyncBatchTransactions,StatusChangedAt,8,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AccountingSyncBatchTransactions,SyncAttempts,9,,YES,int,,,10,10,0,,,
fsp-165587,dbo,AccountingSyncBatchTransactions,CleanupFailures,10,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AccountingSyncBatchTransactions,LastModifiedTime,11,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AircraftOwners,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,AircraftOwners,AircraftId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftOwners,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AircraftOwners,OwnerId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftOwners,LastModifiedTime,5,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AircraftRateTypes,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,AircraftRateTypes,AircraftRateTypeId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftRateTypes,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AircraftRateTypes,Name,4,,NO,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AircraftRateTypes,IsActive,5,,NO,bit,,,,,,,,
fsp-165587,dbo,AircraftRateTypes,IsDeleted,6,,NO,bit,,,,,,,,
fsp-165587,dbo,AircraftRateTypes,Order,7,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AircraftRateTypes,InvoicingAccountId,8,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftRateTypes,LastModifiedTime,9,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,PerformedBy,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,PerformedAt,3,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,Mode,4,,NO,char,6,6,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AircraftTypeCheckOutsHistory,CompanyId,5,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,AircraftTypeCheckoutId,6,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,PilotId,7,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,AircraftMakeId,8,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,AircraftModelId,9,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,CheckoutDate,10,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,Expiration,11,,YES,datetime,,,,,,3,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,Revoked,12,,YES,bit,,,,,,,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,LastModifiedTime,13,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AircraftTypeCheckOutsHistory,OperatorId,14,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,EventId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,EventType,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,EventDate,3,,NO,datetime,,,,,,3,,
fsp-165587,dbo,AuditHistoryEvents,OperatorId,4,,NO,int,,,10,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,LocationId,5,,YES,int,,,10,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,LocationName,6,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,CreatedById,7,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AuditHistoryEvents,CreatedByName,8,,NO,nvarchar,200,400,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,IPAddress,9,,YES,nvarchar,39,78,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,Message,10,,YES,nvarchar,1024,2048,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,ResourceId,11,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,AuditHistoryEvents,ResourceName,12,,YES,nvarchar,200,400,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,ResourceType,13,,YES,int,,,10,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,Data,14,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,OriginalJson,15,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,ResultingJson,16,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,PatchJson,17,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,ProductType,18,,YES,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,CreatedByGlobalUserId,19,,YES,bigint,,,19,10,0,,,
fsp-165587,dbo,AuditHistoryEvents,ObjectId,20,,YES,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,ObjectName,21,,YES,nvarchar,200,400,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,AuditHistoryEvents,ObjectType,22,,YES,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Certifications,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,Certifications,CertificationId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,Certifications,RegulationId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Certifications,Name,4,,NO,nvarchar,250,500,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Certifications,IsActive,5,,NO,bit,,,,,,,,
fsp-165587,dbo,Closings,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,Closings,ClosingId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,Closings,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Closings,Name,4,,NO,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Closings,Message,5,,YES,nvarchar,500,1000,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Closings,StartDate,6,,NO,datetime,,,,,,3,,
fsp-165587,dbo,Closings,EndDate,7,,NO,datetime,,,,,,3,,
fsp-165587,dbo,Closings,AllDay,8,,NO,bit,,,,,,,,
fsp-165587,dbo,Closings,LastModifiedTime,9,,NO,datetime,,,,,,3,,
fsp-165587,dbo,ConsolidatedReservations,ReservationId,1,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,CompanyId,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,ConsolidatedReservations,IsStandBy,3,,NO,bit,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,ResourceId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,ResourceType,5,,NO,int,,,10,10,0,,,
fsp-165587,dbo,ConsolidatedReservations,Start,6,,NO,datetime,,,,,,3,,
fsp-165587,dbo,ConsolidatedReservations,End,7,,NO,datetime,,,,,,3,,
fsp-165587,dbo,ConsolidatedReservations,ReservationTypeId,8,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,PilotUserId,9,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,Pilot2UserId,10,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,CreatedFor,11,,NO,varchar,100,100,,,,,iso_1,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,ConsolidatedReservations,IsDispatched,12,,NO,bit,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,IsCompleted,13,,NO,bit,,,,,,,,
fsp-165587,dbo,ConsolidatedReservations,LastModifiedTime,14,,NO,datetime,,,,,,3,,
fsp-165587,dbo,ConsolidatedReservations,OperatorId,15,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseCertifications,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseCertifications,CourseCertificationId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseCertifications,CourseId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseCertifications,OperatorId,4,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseCertifications,CertificationId,5,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseCertifications,RegulationId,6,,YES,int,,,10,10,0,,,
fsp-165587,dbo,CourseCertifications,Other,7,,YES,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseCustomDocumentationChecks,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseCustomDocumentationChecks,CourseId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseCustomDocumentationChecks,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseCustomDocumentationChecks,CustomDocumentationId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseDocumentUploads,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseDocumentUploads,CourseDocumentUploadId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseDocumentUploads,CourseId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseDocumentUploads,OperatorId,4,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseDocumentUploads,CourseDocumentTypeId,5,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseDocumentUploads,Hash,6,,NO,nvarchar,2048,4096,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseDocumentUploads,OriginalFileName,7,,NO,nvarchar,2048,4096,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseDocumentUploads,Extension,8,,NO,nvarchar,10,20,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseDocumentUploads,SizeInBytes,9,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseDocumentUploads,ContentType,10,,NO,nvarchar,255,510,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseDocumentUploads,StoredAt,11,,NO,datetime,,,,,,3,,
fsp-165587,dbo,CourseDocumentUploads,UserId,12,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseDocumentUploads,Deleted,13,,NO,bit,,,,,,,,
fsp-165587,dbo,CourseDocumentUploads,DeletedAt,14,,YES,datetime,,,,,,3,,
fsp-165587,dbo,CourseNames,_RowNumber,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseNames,OperatorId,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseNames,CourseId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseNames,Name,4,,NO,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseNames,TimeStamp,5,,YES,datetime,,,,,,3,,
fsp-165587,dbo,CourseNames,LastModifiedTime,6,,NO,datetime,,,,,,3,,
fsp-165587,dbo,CourseNames,SyllabusProviderId,7,,YES,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,CourseId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,ProfileDocumentationId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,CertificateType,5,,YES,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,SoloEndorsement,6,,YES,bit,,,,,,,,
fsp-165587,dbo,CourseProfileDocumentationChecks,FlightReview,7,,YES,bit,,,,,,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,OperatorId,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,CourseId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,CourseProfileId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,LessonId,5,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,MinimumTime1,6,,YES,decimal,,,5,10,2,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,MinimumTime2,7,,YES,decimal,,,5,10,2,,,
fsp-165587,dbo,CourseProfileLessonMinimumTimes,MinimumTime3,8,,YES,decimal,,,5,10,2,,,
fsp-165587,dbo,CourseProfiles,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseProfiles,OperatorId,2,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,CourseId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfiles,CourseProfileId,4,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseProfiles,Name,5,,NO,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseProfiles,LessonPerSevenDays,6,,NO,decimal,,,5,10,2,,,
fsp-165587,dbo,CourseProfiles,NonControlledCancellationIsTraining,7,,NO,bit,,,,,,,,
fsp-165587,dbo,CourseProfiles,LessonCompletionStatusBehind,8,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,LessonCompletionStatusAtRisk,9,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,LessonCompletionStatusOnTrack,10,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,CourseMinimumTimeField1,11,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseProfiles,CourseMinimumTimeField2,12,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseProfiles,CourseMinimumTimeField3,13,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseProfiles,CourseMinimumStatusBehind,14,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,CourseMinimumStatusAtRiskLow,15,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,CourseMinimumStatusOnTrack,16,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseProfiles,CourseMinimumStatusAtRiskHigh,17,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Courses,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,Courses,CourseId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,Courses,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Courses,Name,4,,NO,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,Status,5,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Courses,StagesEnabled,6,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,StagesPluralLabel,7,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,StagesSingularLabel,8,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,PhasesEnabled,9,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,PhasesPluralLabel,10,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,PhasesSingularLabel,11,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,LessonsPluralLabel,12,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,LessonsSingularLabel,13,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,PartsEnabled,14,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,PartsPluralLabel,15,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,PartsSingularLabel,16,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,TasksPluralLabel,17,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,TasksSingularLabel,18,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,EnrollmentType,19,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Courses,Objectives,20,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,CreatedAtUtc,21,,NO,datetime,,,,,,3,,
fsp-165587,dbo,Courses,PINRequirement,22,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Courses,Description,23,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,CompletionStandard,24,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,RequiredStudy,25,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,RecommendedStudy,26,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,IsLocked,27,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,SyllabusProviderId,28,,YES,int,,,10,10,0,,,
fsp-165587,dbo,Courses,TermsOfServiceAcceptedBy,29,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,Courses,SyllabusProviderCourseId,30,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,Courses,SyllabusProviderCourseTypeId,31,,YES,int,,,10,10,0,,,
fsp-165587,dbo,Courses,IsReadOnly,32,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,IsChargedCourse,33,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,FAAPart141CertNumber,34,,YES,nvarchar,100,200,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,EnrollmentCertificateEnabled,35,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,EnrollmentCertificateCourseName,36,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,SyllabusEnabled,37,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,SafetyProceduresEnabled,38,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,EnrollmentDocsPINRequired,39,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,GraduationCertificateEnabled,40,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,GraduationCertificateCourseName,41,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,GraduationDocsPINRequired,42,,NO,bit,,,,,,,,
fsp-165587,dbo,Courses,ExternalId,43,,YES,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,EnrollmentCertificateCompanyName,44,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,GraduationCertificateCompanyName,45,,YES,nvarchar,-1,-1,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,Courses,CourseTypeId,46,,NO,int,,,10,10,0,,,
fsp-165587,dbo,Courses,Version,47,,YES,int,,,10,10,0,,,
fsp-165587,dbo,Courses,ShowDeprecatedFieldWarning,48,,YES,bit,,,,,,,,
fsp-165587,dbo,Courses,CourseFamilyId,49,,YES,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseTasks,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseTasks,CourseTaskId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseTasks,CourseId,3,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseTasks,OperatorId,4,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseTasks,Name,5,,NO,nvarchar,2000,4000,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseTasks,IsLocked,6,,NO,bit,,,,,,,,
fsp-165587,dbo,CourseTimeFields,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseTimeFields,CourseId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseTimeFields,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseTimeFields,FieldId,4,,NO,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseTimeFields,Enabled,5,,NO,bit,,,,,,,,
fsp-165587,dbo,CourseTimeFields,IsLocked,6,,NO,bit,,,,,,,,
fsp-165587,dbo,CourseTrackedTimeFields,_RowId,1,,NO,bigint,,,19,10,0,,,
fsp-165587,dbo,CourseTrackedTimeFields,CourseId,2,,NO,uniqueidentifier,,,,,,,,
fsp-165587,dbo,CourseTrackedTimeFields,OperatorId,3,,NO,int,,,10,10,0,,,
fsp-165587,dbo,CourseTrackedTimeFields,FieldId,4,,NO,nvarchar,50,100,,,,,UNICODE,SQL_Latin1_General_CP1_CI_AS
fsp-165587,dbo,CourseTrackedTimeFields,Minimum,5,,YES,decimal,,,9,10,2,,,
fsp-165587,dbo,CourseTrackedTimeFields,IsLocked,6,,NO,bit,,,,,,,,
